Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Total_Sales,Profit,Return_Flag,Customer_Frequency,Monetary,Recency,Discount (%),Shipping_Cost,Customer_Segment
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,12/1/2009 7:45,6.95,13085,United Kingdom,83.4,16.68,0,10,1459.46,152,7.49,3.47,Low Value
489434,79323P,PINK CHERRY LIGHTS,12,12/1/2009 7:45,6.75,13085,United Kingdom,81,16.2,0,10,1459.46,152,19.01,3.93,Low Value
489434,79323W, WHITE CHERRY LIGHTS,12,12/1/2009 7:45,6.75,13085,United Kingdom,81,16.2,0,10,1459.46,152,14.64,2.16,Low Value
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,12/1/2009 7:45,2.1,13085,United Kingdom,100.8,20.16,0,10,1459.46,152,11.97,3.62,Low Value
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,12/1/2009 7:45,1.25,13085,United Kingdom,30,6,0,10,1459.46,152,3.12,3.6,Low Value
489434,22064,PINK DOUGHNUT TRINKET POT ,24,12/1/2009 7:45,1.65,13085,United Kingdom,39.6,7.92,0,10,1459.46,152,3.12,3.46,Low Value
489434,21871,SAVE THE PLANET MUG,24,12/1/2009 7:45,1.25,13085,United Kingdom,30,6,0,10,1459.46,152,1.16,3.35,Low Value
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,12/1/2009 7:45,5.95,13085,United Kingdom,59.5,11.9,0,10,1459.46,152,17.32,4.96,Low Value
489435,22350,CAT BOWL ,12,12/1/2009 7:46,2.55,13085,United Kingdom,30.6,6.12,0,10,1459.46,152,12.02,4.2,Low Value
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,12/1/2009 7:46,3.75,13085,United Kingdom,45,9,0,10,1459.46,152,14.16,4.51,Low Value
489435,22195,HEART MEASURING SPOONS LARGE,24,12/1/2009 7:46,1.65,13085,United Kingdom,39.6,7.92,0,10,1459.46,152,0.41,3.83,Low Value
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,12/1/2009 7:46,2.55,13085,United Kingdom,30.6,6.12,0,10,1459.46,152,19.4,2.37,Low Value
489436,48173C,DOOR MAT BLACK FLOCK ,10,12/1/2009 9:06,5.95,13078,United Kingdom,59.5,11.9,0,93,28049.6,3,16.65,2.05,High Value
489436,21755,LOVE BUILDING BLOCK WORD,18,12/1/2009 9:06,5.45,13078,United Kingdom,98.1,19.62,0,93,28049.6,3,4.25,3.95,High Value
489436,21754,HOME BUILDING BLOCK WORD,3,12/1/2009 9:06,5.95,13078,United Kingdom,17.85,3.57,0,93,28049.6,3,3.64,3.93,High Value
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,12/1/2009 9:06,1.69,13078,United Kingdom,27.04,5.408,0,93,28049.6,3,3.67,3.55,High Value
